cid,acname,acqualifier,acvalue
9828617,Ki,=,0.398
5311096,Ki,=,1.05
3038494,Ki,=,0.2
10276451,Ki,=,0.0647
11224283,Ki,=,0.0304
44309510,Ki,=,0.0393
9891901,Ki,=,0.112
10001256,Ki,=,0.0029
11351639,Ki,=,0.149
11316847,Ki,=,0.0197
9826580,Ki,=,0.0248
9980998,Ki,=,0.0448
44309509,Ki,=,0.0296
11223885,Ki,=,0.0137
9887463,Ki,=,0.0025
11477180,Ki,=,0.0933
44309688,Ki,=,0.0629
3038494,Ki,=,0.22
44309510,Ki,=,0.0393
11477180,Ki,=,0.0933
11247894,Ki,=,0.0219
11316078,Ki,=,0.029
11407062,Ki,=,0.0169
9826580,Ki,=,0.0248
9980998,Ki,=,0.0448
11327651,Ki,=,0.0101
11281627,Ki,=,0.0061
11774865,Ki,=,0.0037
11419120,Ki,=,0.0391
11177610,Ki,=,0.0066
11442000,Ki,=,0.0175
11396088,Ki,=,0.0088
11351639,Ki,=,0.149
11316847,Ki,=,0.0197
44309775,Ki,=,0.168
11408148,Ki,=,0.0765
11408287,Ki,=,0.0074
11307083,Ki,=,0.0354
44309509,Ki,=,0.0296
11338674,Ki,=,0.0312
11477201,Ki,=,0.0457
11223885,Ki,=,0.0137
10276451,Ki,=,0.0647
11352111,Ki,=,0.0437
11203357,Ki,=,0.0281
11166027,Ki,=,0.0182
9891901,Ki,=,0.112
10001256,Ki,=,0.0029
11442772,Ki,=,0.008
11487464,Ki,=,0.015
11224283,Ki,=,0.0304
11282073,Ki,=,0.0102
11443078,Ki,=,0.0182
11258233,Ki,=,0.0196
11317018,Ki,=,0.0655
11375068,Ki,=,0.0545
11249540,Ki,=,0.0106
10276451,Ki,=,3.6
11057969,Ki,=,0.29
10092819,Ki,=,0.11
10404144,Ki,=,3.2
3559,Ki,=,0.0013
5355,Ki,=,0.12
5265,Ki,=,0.00012
10336538,Ki,=,3.4
9839050,Ki,=,0.061
44401244,Ki,=,0.369
135398745,Ki,=,0.078
44401041,Ki,=,0.032
44401042,Ki,=,0.068
44401164,Ki,=,0.0023
44401164,Ki,=,0.0017
44401194,Ki,=,0.191
44401243,Ki,=,0.0059
44401105,Ki,=,0.066
4184,Ki,=,2.197
135398737,Ki,=,0.144
3559,Ki,=,0.0025
5073,Ki,=,0.0064
11186523,Ki,=,0.012
44401106,Ki,=,0.012
44324800,Ki,=,0.23
44324765,Ki,=,0.959
10014924,Ki,=,3
11230330,Ki,=,5.1
11230330,Ki,=,0.13
54562,Ki,=,0.035
10014924,Ki,=,0.041
119570,Ki,=,0.021
54562,Ki,=,3
119570,Ki,=,1.9
119570,Ki,=,0.021
11230330,Ki,=,0.19
54562,Ki,=,0.063
10014924,Ki,=,0.052
11211017,Ki,=,2.2
2419,Ki,=,0.014
9864325,Ki,=,0.14
9908478,Ki,=,0.12
9865254,Ki,=,2.2
9931327,Ki,=,0.7
9845181,Ki,=,0.58
119570,Ki,=,6.3
11230330,Ki,=,6.5
54562,Ki,=,3.1
10014924,Ki,=,6.9
9865858,Ki,=,0.0132
6918648,Ki,=,0.79433
6918455,Ki,=,2.51189
6918647,Ki,=,3.98107
5311200,Ki,=,0.908
9968343,Ki,=,2.34
9902381,Ki,=,0.493
10854370,Ki,=,0.0525
11792373,Ki,=,5.59
10807795,Ki,=,0.61
10545941,Ki,=,0.698
9836900,Ki,=,0.129
11792163,Ki,=,0.572
10498196,Ki,=,1.13
10664621,Ki,=,0.287
9902382,Ki,=,2.98
9885114,Ki,=,0.413
9946469,Ki,=,0.346
9967004,Ki,=,2.2
10020914,Ki,=,0.000196
44372199,Ki,=,0.000122
92910,Ki,=,0.0732
10020914,Ki,=,0.19
10020914,Ki,=,5e-05
44372199,Ki,=,3.1e-05
92910,Ki,=,4e-05
10020914,Ki,=,6.7e-05
44372199,Ki,=,7.1e-05
92910,Ki,=,9e-05
44372199,Ki,=,0.196
10020914,Ki,=,0.26
10020914,Ki,=,0.211
44372199,Ki,=,0.246
44372199,Ki,=,0.202
92910,Ki,=,0.06
92910,Ki,=,0.078
92910,Ki,=,0.00013
10020914,Ki,=,9e-05
44372199,Ki,=,6.4e-05
92910,Ki,=,6e-05
92910,Ki,=,0.0601
10020914,Ki,=,0.188
44372199,Ki,=,0.168
9894665,Ki,=,0.023
129211,Ki,=,0.013
9894665,Ki,=,0.025
129211,Ki,=,0.078
5311346,Ki,=,1.18
44329749,Ki,=,0.533
5311346,Ki,=,0.042
10683127,Ki,=,0.854
10015731,Ki,=,0.00114
44329483,Ki,=,0.197
10515841,Ki,=,0.074
57533,Ki,=,0.00624
10637198,Ki,=,0.5
9904074,Ki,=,0.027
10220541,Ki,=,1.35
54562,EC50,=,0.0022
10590717,Ki,=,3.51
10780928,Ki,=,5.92
10590717,Ki,=,0.536
10780928,Ki,=,0.047
10810976,Ki,=,3.17
119570,Ki,=,0.139
10572985,Ki,=,0.98
10832341,Ki,=,5
10763496,Ki,=,0.262
3626837,Ki,=,1.9
10044835,Ki,=,2.55
10737150,Ki,=,2.74
10548967,Ki,=,3.96
10597050,Ki,=,3.4
10644771,Ki,=,2.35
10761912,Ki,=,0.282
135398737,Ki,=,0.876
3559,Ki,=,0.0056
10000302,Ki,=,3.95
71450871,Ki,=,3.18
49860016,Ki,=,0.061
3559,Ki,=,0.007
49860013,IC50,=,0.005
49860027,IC50,=,0.013
49860029,IC50,=,0.146
49860028,IC50,=,0.246
52942934,IC50,=,0.065
52942934,IC50,=,0.093
10851217,IC50,=,0.037
49860024,IC50,=,0.005
135398737,IC50,=,0.113
3559,IC50,=,0.004
49860010,IC50,=,0.012
49860021,IC50,=,0.002
49860017,IC50,=,0.068
49860031,IC50,=,0.056
49860033,IC50,=,0.032
49860793,IC50,=,0.766
18613655,IC50,=,0.06
49860014,IC50,=,0.007
49860030,IC50,=,0.202
52946554,IC50,=,0.045
10594723,IC50,=,0.064
49860018,IC50,=,0.128
49860020,IC50,=,0.208
49860012,IC50,=,0.228
49860019,IC50,=,0.017
49860022,IC50,=,0.01
49860023,IC50,=,0.005
49860025,IC50,=,0.171
52942934,Ki,=,0.181
54477,IC50,=,0.88
49860016,IC50,=,0.073
49860032,IC50,=,0.752
49860796,IC50,=,0.263
10641637,Ki,=,2.6
10831735,Ki,=,7.6
10665598,Ki,=,0.54
10498094,Ki,=,0.95
9995904,Ki,=,0.29
10643780,Ki,=,1.4
10594054,Ki,=,0.5
10567430,Ki,=,5.6
9908125,Ki,=,0.79
135398737,Ki,=,0.041
10641637,Ki,=,4.3
10665598,Ki,=,1.4
10831735,Ki,=,7.9
9995904,Ki,=,3.1
10498094,Ki,=,2.3
10830557,Ki,=,2.4
10643780,Ki,=,2
135398737,Ki,=,0.028
54562,EC50,=,0.0037
9908125,Ki,=,0.48
10830557,Ki,=,1.8
10663221,Ki,=,3.5
10594054,Ki,=,0.22
10567430,Ki,=,2.5
10597140,Ki,=,0.39811
10249573,Ki,=,0.63096
6604889,Ki,=,0.31623
10573876,Ki,=,0.79433
10835110,Ki,=,1
9863250,Ki,=,1.58489
4420454,Ki,=,0.27
10039198,Ki,=,0.16
10524751,Ki,=,5.2
4420454,Ki,=,2.9
681,Ki,=,0.042
681,Ki,=,1.1
681,Ki,=,1.9
10039198,Ki,=,0.016
4420454,Ki,=,0.038
4420454,Ki,=,0.034
10039198,Ki,=,0.017
4420454,Ki,=,2.8
681,Ki,=,0.034
681,Ki,=,0.02
10611439,Ki,=,0.317
10707685,Ki,=,0.026
10379532,Ki,=,0.071
10780842,Ki,=,7.98
10730269,Ki,=,0.0238
10706626,Ki,=,0.261
10662302,Ki,=,3.65
10754042,Ki,=,0.215
10495891,Ki,=,0.0245
10683945,Ki,=,0.182
10805599,Ki,=,0.0708
10084076,Ki,=,2.25
10062885,Ki,=,0.0071
681,Ki,=,0.017
10039198,Ki,=,0.97
10524751,Ki,=,7.3
4420454,Ki,=,0.25
24845776,Ki,=,1
24848647,Ki,=,0.1
45260407,Ki,=,0.39811
45260363,Ki,=,0.19953
45260312,Ki,=,1.58489
44533248,Ki,=,0.12589
45260355,Ki,=,0.79433
45260372,Ki,=,0.15849
45260377,Ki,=,0.63096
45260341,Ki,=,0.19953
45260417,Ki,=,0.31623
45260357,Ki,=,0.79433
10091189,Ki,=,0.35
9821248,Ki,=,0.5
9838960,Ki,=,0.028
10588666,Ki,=,1.6
9842124,Ki,=,1.6
10546579,Ki,=,1.4
71458069,Ki,=,1
10713670,Ki,=,0.5
9948670,Ki,=,0.028
10495787,Ki,=,1.6
10520440,Ki,=,0.9
10404144,Ki,=,3.2
135398737,Ki,=,0.041
10336538,Ki,=,3.4
135398737,Ki,=,0.028
10336538,Ki,=,6.3
10404144,Ki,=,4.3
10436285,Ki,=,0.089
1687,Ki,=,1.74
12071089,Ki,=,0.059
11762743,Ki,=,0.512
10927750,Ki,=,0.825
10073022,Ki,=,0.0813
11812838,Ki,=,0.414
44337675,Ki,=,0.18
44337709,Ki,=,1.12
12066265,Ki,=,0.625
11005852,Ki,=,0.005
11026289,Ki,=,0.777
12997413,Ki,=,1.68
12066264,Ki,=,0.379
44337725,Ki,=,0.672
12997412,Ki,=,0.473
11431895,Ki,=,0.217
11812065,Ki,=,0.12
44338149,Ki,=,0.927
44338248,Ki,=,0.218
24810004,Ki,=,0.132
11133385,Ki,=,0.606
10983150,Ki,=,0.011
21460314,Ki,=,0.262
10972865,Ki,=,2.57
10885524,Ki,=,0.01
10004950,IC50,=,2.12
44342270,IC50,=,0.48
11071079,IC50,=,2.62
11811722,IC50,=,0.538
10885636,IC50,=,2.24
10948527,IC50,=,0.557
11005810,IC50,=,0.551
10907460,IC50,=,2.89
10981761,IC50,=,0.123
9927441,Ki,=,0.062
11747350,Ki,=,0.059
6918542,Ki,=,0.21
9862256,Ki,=,1.6
9867475,Ki,=,0.75
5002,Ki,=,0.069
5073,Ki,=,0.00044
5736,Ki,=,0.011
135398737,Ki,=,0.19
135398745,Ki,=,0.0021
60854,Ki,=,0.0028
10571274,Ki,=,2.03
10064053,Ki,=,0.233
5312148,Ki,=,3.981
10698929,Ki,=,2.26
6604889,Ki,=,0.316
10421583,Ki,=,0.527
11725453,Ki,=,2.47
11725453,Ki,=,0.498
6005,Ki,=,0.0419
10593348,Ki,=,3.38
10593348,Ki,=,2.5
44276598,Ki,=,0.105
10084076,Ki,=,2.25
13805900,Ki,=,0.014
6603867,Ki,=,0.034
20267108,Ki,=,3.676
44333374,Ki,=,0.63
11044146,Ki,=,0.439
10421679,Ki,=,0.02
10879566,Ki,=,2.037
10988746,Ki,=,3.107
10060538,Ki,=,0.00624
11076818,Ki,=,1.08
10130933,Ki,=,0.027
44333001,Ki,=,0.375
59227,Ki,=,6e-05
11121216,Ki,=,0.33
5761,Ki,=,0.12
10472143,Ki,=,0.11
10947658,Ki,=,0.06
60785,Ki,=,0.18
9885465,Ki,=,1.4
44364616,Ki,=,0.57
10925892,Ki,=,1
11013863,Ki,=,0.71
11100243,Ki,=,1.8
3083481,Ki,=,1.7
11783381,Ki,=,0.84
11058213,Ki,=,1.1
10450758,Ki,=,1.1
10991521,Ki,=,0.75
11079151,Ki,=,1.1
10873003,Ki,=,0.002
10971209,Ki,=,1.5
9953268,Ki,=,1
11133309,Ki,=,0.65
11057472,Ki,=,0.65
11825520,Ki,=,1.1
11036563,Ki,=,0.68
5311271,Ki,=,1.3
11100514,Ki,=,0.49
11141325,Ki,=,0.53
10436653,Ki,=,0.063
11036641,Ki,=,0.011
9980998,Ki,=,0.32
44361021,Ki,=,0.19
10276451,Ki,=,3.6
10476504,Ki,=,0.31
3038495,Ki,=,0.21
10895106,Ki,=,0.071
10884046,Ki,=,0.11
11057969,Ki,=,0.29
10862425,Ki,=,0.14
10092819,Ki,=,0.11
11068912,Ki,=,0.52
9888555,Ki,=,0.087
11036640,Ki,=,0.83
44360992,Ki,=,0.15
11133602,Ki,=,0.03
10053476,Ki,=,0.091
10895106,Ki,=,0.076
10884046,Ki,=,0.065
3038495,Ki,=,0.21
9888555,Ki,=,0.052
10436653,Ki,=,0.039
11133602,Ki,=,0.025
11036641,Ki,=,0.0039
9980998,Ki,=,0.08
44361021,Ki,=,0.12
11068912,Ki,=,0.48
10053476,Ki,=,0.048
44360984,Ki,=,0.18
11036640,Ki,=,0.97
44360992,Ki,=,0.098
10092819,Ki,=,0.084
10276451,Ki,=,2.6
10476504,Ki,=,0.31
11057969,Ki,=,0.14
10862425,Ki,=,0.084
135404757,Ki,=,1.099
11732013,Ki,=,0.571
136094867,Ki,=,0.136
10363821,Ki,=,9.943
136094866,Ki,=,0.149
9927411,Ki,=,2.235
3802,Ki,=,5.94
135471592,Ki,=,0.183
135442113,Ki,=,0.183
11058829,Ki,=,0.892
44360984,Ki,=,0.27
11079832,Ki,=,0.635
135398737,Ki,=,0.372
3559,Ki,=,0.0085
135501649,Ki,=,2.596
10950176,Ki,=,1.41
11003833,Ki,=,0.68
10644771,Ki,=,2.35
10254390,Ki,=,0.373
3626837,Ki,=,1.9
11133533,Ki,=,0.77
10873318,Ki,=,0.253
10939408,Ki,=,5.2
11811808,Ki,=,0.93
10961938,Ki,=,0.83
3559,Ki,=,0.00012
11729231,Ki,=,3.68
11123162,Ki,=,0.107
10430816,Ki,=,0.077
10873956,Ki,=,0.063
10000302,Ki,=,3.96
10643697,Ki,=,2.99
11144835,Ki,=,1.56
11131951,Ki,=,7.46
71456235,Ki,=,5.74
71454487,Ki,=,0.17
11028157,Ki,=,3.8
10994141,Ki,=,0.43
10406796,Ki,=,0.467
10905940,Ki,=,1.13
10456166,Ki,=,0.135
11811640,Ki,=,0.21
9881053,IC50,=,3.4
5452,Ki,=,0.027
16362,Ki,=,0.012
10084076,Ki,=,2.25
10062885,Ki,=,0.0071
10706626,Ki,=,0.261
10379532,Ki,=,0.071
44351005,EC50,=,0.0025
44350888,EC50,=,0.01
10940279,Ki,=,0.063
44350795,Ki,=,0.103
44350796,Ki,=,0.63
44350874,Ki,=,0.0237
44351005,Ki,=,0.0275
44329321,Ki,=,0.025
10919602,Ki,=,0.0072
44350754,Ki,=,0.128
44350773,Ki,=,0.0385
10951185,Ki,=,0.032
11027407,Ki,=,0.0152
9827991,Ki,=,0.0764
44350806,Ki,=,0.021
44350839,Ki,=,0.0532
44350845,Ki,=,0.01
44350919,Ki,=,0.081
44350653,Ki,=,0.0095
10983103,Ki,=,0.145
44350852,Ki,=,0.075
44350909,Ki,=,0.047
44350586,Ki,=,0.0111
11102301,Ki,=,0.032
44350625,Ki,=,0.0145
44350774,Ki,=,0.33
44350861,Ki,=,0.056
44350867,Ki,=,0.2
44350920,Ki,=,0.056
3038495,Ki,=,0.061
11113582,Ki,=,0.117
10874342,Ki,=,0.018
44350908,Ki,=,0.0487
11812299,Ki,=,0.04
44350788,Ki,=,0.0195
44350871,Ki,=,0.044
44350728,Ki,=,0.015
10368423,Ki,=,0.146
44350714,Ki,=,0.0946
11826347,Ki,=,0.018
10905430,Ki,=,0.013
44350679,Ki,=,0.05
10961112,Ki,=,0.0103
44350824,Ki,=,0.2
44350842,Ki,=,0.0115
10939008,Ki,=,0.023
44350660,Ki,=,0.178
44350675,Ki,=,0.045
44350782,Ki,=,0.0502
44350798,Ki,=,0.063
44350674,Ki,=,0.0284
44350799,Ki,=,0.023
44350826,Ki,=,0.235
10994916,Ki,=,0.161
44350685,Ki,=,0.3
44350759,Ki,=,0.02
44350888,Ki,=,0.0226
44350752,Ki,=,0.114
10949917,Ki,=,0.014
44350849,Ki,=,0.068
11826673,Ki,=,0.03679
11812905,Ki,=,0.0652
11733372,Ki,=,0.037
44350875,Ki,=,0.035
44350841,Ki,=,0.126
44350843,Ki,=,0.014
44350889,Ki,=,0.01354
21219157,Ki,=,0.0061
11761374,Ki,=,0.0175
10960767,Ki,=,0.019
11102188,Ki,=,0.008
44350835,Ki,=,0.0209
11761412,Ki,=,0.0207
11730189,Ki,=,0.0719
10971923,Ki,=,0.0265
11091160,Ki,=,0.012
10912396,EC50,=,0.17
122167,EC50,=,0.0007
45265633,Ki,=,0.31623
45262417,Ki,=,0.63096
45262412,Ki,=,0.12589
45262348,Ki,=,0.31623
45262416,Ki,=,0.63096
45264008,Ki,=,0.07943
45262339,Ki,=,0.19953
45265597,Ki,=,0.19953
45265589,Ki,=,0.0631
45262363,Ki,=,0.31623
45262403,Ki,=,0.03162
45262410,Ki,=,0.50119
45265266,Ki,=,0.39811
45262323,Ki,=,0.25119
45265244,Ki,=,0.79433
45265590,Ki,=,0.31623
45262385,Ki,=,0.63096
45265612,Ki,=,0.1
45262345,Ki,=,0.19953
45262347,Ki,=,0.0631
45265605,Ki,=,0.15849
45262402,Ki,=,0.15849
45265240,Ki,=,0.19953
45262343,Ki,=,0.12589
45265305,Ki,=,0.63096
45262384,Ki,=,0.12589
45262349,Ki,=,0.39811
45262369,Ki,=,0.15849
45262415,Ki,=,0.25119
45262404,Ki,=,0.07943
45262381,Ki,=,0.07943
45265257,Ki,=,0.50119
45265219,Ki,=,0.19953
11307899,Ki,=,0.003162
5761,Ki,=,0.12589
10069973,Ki,=,0.0781
10430685,Ki,=,0.246
9818479,EC50,=,0.165
6005,EC50,=,0.0058
5025739,Ki,=,0.16
9796720,Ki,=,0.12
9975463,pKi,<,0.006
11325428,pKi,=,0.00781
11257780,pKi,=,0.00896
11200115,pKi,=,0.00764
11303835,pKi,=,0.00781
11199716,pKi,=,0.00736
9906978,pKi,=,0.00748
11382826,pKi,=,0.00781
135398737,pKi,=,0.00687
3559,pKi,=,0.00905
11428871,pKi,=,0.00758
11474752,pKi,=,0.00762
11338272,pKi,=,0.0081
681,EC50,=,0.018
5736,Ki,=,0.013
60149,Ki,=,0.0074
5002,Ki,=,0.31
5073,Ki,=,0.0033
60854,Ki,=,0.0097
135398737,Ki,=,0.15
3559,Ki,=,0.0014
135398745,Ki,=,0.017
5311200,Ki,=,0.448
10336538,Ki,=,1.31
44266612,Ki,=,0.093
44266612,Ki,=,0.218
44275135,Ki,=,0.0024
44275766,Ki,=,0.0008
44266623,Ki,=,0.05
44274739,Ki,=,0.235
44266636,Ki,=,0.075
44266636,Ki,=,0.0041
18988817,Ki,=,0.0085
44275155,Ki,=,0.1
9882257,Ki,=,0.011
44266689,Ki,=,0.078
10466962,Ki,=,0.018
10014136,Ki,<,0.05
10014056,Ki,=,0.108
10105311,Ki,=,0.0005
22849992,Ki,=,0.0036
22849991,Ki,=,0.0031
14944887,Ki,=,0.059
6604756,Ki,=,0.013
44275362,Ki,=,0.0014
10014057,Ki,=,0.0003
14944884,Ki,=,0.153
18988835,Ki,=,0.011
10377224,Ki,=,0.075
44275015,Ki,=,0.917
44275616,Ki,=,0.0006
10105844,Ki,=,0.077
10105844,Ki,=,0.0067
10105844,Ki,=,0.007
10355219,Ki,=,0.464
44275604,Ki,=,0.0035
131559,Ki,=,0.0017
44274687,Ki,=,0.058
122334,Ki,=,0.014
44305180,Ki,=,0.423
44305165,Ki,=,0.017
9904242,Ki,=,0.035
6603866,Ki,=,0.093
54584591,Ki,=,0.038
14950449,Ki,=,0.389
14950447,Ki,=,0.215
14950455,Ki,=,0.044
54584468,Ki,=,0.914
14950445,Ki,=,0.857
14933735,Ki,=,0.896
2477,Ki,=,0.013
5265,Ki,=,0.0002
68186,Ki,=,0.003
1220,Ki,=,3.243
1219,Ki,=,0.142
6142670,Ki,=,1.072
121881,Ki,<,10
1220,Ki,=,0.086
10466368,Ki,=,0.0041
44266663,Ki,=,0.059
44266613,Ki,=,0.077
10354437,Ki,=,0.0085
44266677,Ki,=,0.108
44266689,Ki,=,0.078
10466962,Ki,=,0.018
10014056,Ki,=,0.075
10353846,Ki,=,0.093
44266664,Ki,=,0.0067
10353777,Ki,=,0.025
10466454,Ki,=,0.218
6005,Ki,=,0.026
44266611,Ki,=,0.392
10036887,Ki,=,0.917
10014057,Ki,=,0.235
1220,Ki,=,0.086
10105311,Ki,=,0.0024
10105311,Ki,=,0.0005
10377224,Ki,=,0.075
10377224,Ki,=,0.1
10014057,Ki,=,0.0003
10398936,Ki,=,0.235
10355219,Ki,=,0.464
10037436,Ki,=,0.05
6005,Ki,=,0.026
6240,Ki,=,0.003
6603820,K0.5,=,0.0877
107780,Ki,<,10
3964,Ki,=,0.021
44323870,Ki,=,0.69
44323894,Ki,=,0.094
32224,Ki,=,0.0025
10428654,Ki,=,0.353
10330427,Ki,=,1.04
10397550,Ki,=,0.314
44325894,Ki,=,0.984
9816005,Ki,=,0.119
9795741,Ki,=,0.447
12937927,Ki,=,0.602
10105186,Ki,=,0.106
10380129,Ki,=,0.82
44325908,Ki,=,0.011
10334422,Ki,=,0.022
10037311,Ki,=,0.519
5311189,Ki,=,0.0085
10353207,Ki,=,0.235
10449136,Ki,=,0.52
10449136,Ki,=,0.79
10449136,Ki,=,0.57
10040546,Ki,=,0.73
11724853,Ki,=,1.1
135398737,Ki,=,0.22
11779642,Ki,=,0.64
13014683,Ki,=,1.4
16103,Ki,=,2.5
13014681,Ki,=,0.56
16104,Ki,=,0.047
10424961,Ki,=,0.68
10086123,Ki,=,0.25
13014680,Ki,=,0.52
44323851,Ki,=,0.057
12765116,Ki,=,0.0087
44323876,Ki,=,0.29
13014692,Ki,=,0.001
44323890,Ki,=,0.73
10381810,Ki,=,0.15
210956,Ki,=,0.021
10391240,Ki,=,1.1
10356389,Ki,=,0.106
10264090,Ki,=,0.049
15654433,Ki,=,0.048
10018300,Ki,=,0.091
10356389,Ki,=,0.17
10263410,Ki,=,0.24
10037436,Ki,=,0.05
10466922,Ki,=,0.069
10466923,Ki,=,0.187
10086395,Ki,=,0.029
10466962,Ki,=,0.018
9991216,Ki,=,1.178
10402381,Ki,=,0.192
10242819,Ki,=,0.254
10018300,Ki,=,0.227
11778702,Ki,=,0.134
10251160,Ki,=,0.011
10405678,Ki,=,1.736
44325577,Ki,=,0.125
10060449,Ki,=,0.057
10420915,Ki,=,0.43
44325658,Ki,=,0.744
9991512,Ki,=,0.145
44325908,Ki,=,0.134
10251160,Ki,=,0.073
44325658,Ki,=,0.021
10242850,Ki,=,0.334
10450580,Ki,=,0.315
15654433,Ki,=,0.04
44325578,Ki,=,0.089
9991512,Ki,=,0.02
10384736,Ki,=,0.162
5311189,Ki,=,0.039
10466923,Ki,=,0.098
10086395,Ki,=,0.06
9816005,Ki,=,0.265
10330528,Ki,=,0.222
6005,Ki,=,0.028
127698,Ki,=,0.0255
3559,Ki,=,0.0005
9999267,Ki,=,0.547
6305587,Ki,=,0.265
10406989,Ki,=,0.784
15045457,EC50,=,0.0049
10047648,EC50,=,0.0104
10025039,EC50,=,0.24
54562,EC50,=,0.0076
1219,Ki,=,0.142
10406989,Ki,=,0.0108
6305587,Ki,=,0.0066
9999267,Ki,=,0.0097
10451844,Ki,=,0.0036
10451844,Ki,=,0.324
45261755,Ki,=,2.189
10045023,Ki,=,0.41
44347784,Ki,=,0.515
10382446,Ki,=,0.062
44347697,Ki,=,0.037
45261738,Ki,=,0.389
45261754,Ki,=,1.079
45265021,Ki,=,0.6
44347742,Ki,=,2.192
10090127,Ki,=,0.219
45261745,Ki,=,1.417
45261757,Ki,=,3.506
9998085,Ki,=,0.344
